"","readxrating","sharexrating"
"1",0.0089402,0.052987
"2",0.030475,0.034763
"3",-0.017206,-0.057565
"4",0.034304,-0.013097
"5",0.009351,0.0077039
"6",0.017096,0.01888
"7",0.020075,0.037961
"8",0.0036832,0.22552
"9",0.062976,0.028295
"10",0.029314,0.0094792
"11",0.045964,0.04751
"12",-0.0034115,-0.12189
"13",0.022938,0.025231
"14",0.059497,-0.062159
"15",0.09241,0.026239
"16",0.070839,0.021155
"17",0.052287,0.1064
"18",0.027549,0.023097
"19",0.016991,0.06413
"20",-0.055122,0
"21",0.030323,0.099971
"22",-0.022812,-0.013131
"23",-0.012452,0.018139
"24",-0.0069593,0.010088
"25",0.045745,-0.0014885
"26",-0.0042879,-0.0035105
"27",-0.12404,-0.023979
"28",-0.0080244,0.071148
"29",-0.019478,0.082059
"30",0.064244,0.12535
"31",0.091908,0.18219
"32",0.033078,-0.018894
"33",-0.0087596,-0.014797
"34",0.16748,0.0060164
"35",0.12424,0.13518
"36",0.082969,0.00042532
"37",-0.038306,0.2624
"38",0.031924,0.057605
"39",0.047082,0
"40",0.043107,0.047093
"41",0.056573,-0.0074511
